Participant_ID,cue,age,gender,hispanic,race,education,income,location,shoppingfreq,perceived_decision_pressure,perceived_authenticity_of_product,perceived_cue_influence,decision_confidence,perceived_manipulativeness,Participant_ID,Condition,Context,Product,wtp,purchase_intent_score,value_score,trust_score
13415333.0,Scarcity,18–24 years old,Female,No,Asian,"Bachelor's degree (e.g., BA, BS)","Less than $20,000",No,About once a month,4,5,5,6,6,13415333.0,scarcity,utilitarian,headphones,80.0,5.0,5.0,3.0
13415354.0,Popularity,18–24 years old,Female,No,Asian,"Bachelor's degree (e.g., BA, BS)","Less than $20,000",Yes,About once a month,1,3,1,6,1,13415354.0,popularity,hedonic,chocolate,6.0,2.0,3.0,2.0
13415354.0,Popularity,18–24 years old,Female,No,Asian,"Bachelor's degree (e.g., BA, BS)","Less than $20,000",Yes,About once a month,1,3,1,6,1,13415354.0,popularity,hedonic,headphones,8.0,1.0,5.0,4.0
13415354.0,Popularity,18–24 years old,Female,No,Asian,"Bachelor's degree (e.g., BA, BS)","Less than $20,000",Yes,About once a month,1,3,1,6,1,13415354.0,popularity,utilitarian,chocolate,3.0,4.0,2.0,3.0
13415354.0,Popularity,18–24 years old,Female,No,Asian,"Bachelor's degree (e.g., BA, BS)","Less than $20,000",Yes,About once a month,1,3,1,6,1,13415354.0,popularity,utilitarian,headphones,50.0,6.0,3.0,5.0
13415615.0,Scarcity,25–34 years old,Female,No,Asian,"Bachelor's degree (e.g., BA, BS)","Less than $20,000",Yes,Less than once a month,1,4,1,6,2,13415615.0,scarcity,hedonic,chocolate,10.0,2.0,3.0,4.0
13415615.0,Scarcity,25–34 years old,Female,No,Asian,"Bachelor's degree (e.g., BA, BS)","Less than $20,000",Yes,Less than once a month,1,4,1,6,2,13415615.0,scarcity,hedonic,headphones,100.0,2.0,4.0,4.0
13415615.0,Scarcity,25–34 years old,Female,No,Asian,"Bachelor's degree (e.g., BA, BS)","Less than $20,000",Yes,Less than once a month,1,4,1,6,2,13415615.0,scarcity,utilitarian,chocolate,1.5,2.0,1.0,4.0
13415615.0,Scarcity,25–34 years old,Female,No,Asian,"Bachelor's degree (e.g., BA, BS)","Less than $20,000",Yes,Less than once a month,1,4,1,6,2,13415615.0,scarcity,utilitarian,headphones,20.0,1.0,2.0,4.0
13415624.0,No Cue,25–34 years old,Male,No,White,"Master's degree (e.g., MA, MS, MBA)","$20,000–$39,999",Yes,About once a month,1,3,1,5,5,13415624.0,none,hedonic,chocolate,3.0,3.0,2.0,4.0
13415624.0,No Cue,25–34 years old,Male,No,White,"Master's degree (e.g., MA, MS, MBA)","$20,000–$39,999",Yes,About once a month,1,3,1,5,5,13415624.0,none,hedonic,headphones,150.0,5.0,5.0,5.0
13415624.0,No Cue,25–34 years old,Male,No,White,"Master's degree (e.g., MA, MS, MBA)","$20,000–$39,999",Yes,About once a month,1,3,1,5,5,13415624.0,none,utilitarian,chocolate,2.0,1.0,2.0,2.0
13415624.0,No Cue,25–34 years old,Male,No,White,"Master's degree (e.g., MA, MS, MBA)","$20,000–$39,999",Yes,About once a month,1,3,1,5,5,13415624.0,none,utilitarian,headphones,40.0,2.0,2.0,6.0
13415740.0,Popularity,18–24 years old,Male,No,Asian,"Bachelor's degree (e.g., BA, BS)","Less than $20,000",Yes,Once a week,2,5,5,5,7,13415740.0,popularity,hedonic,chocolate,10.0,5.0,6.0,6.0
13415740.0,Popularity,18–24 years old,Male,No,Asian,"Bachelor's degree (e.g., BA, BS)","Less than $20,000",Yes,Once a week,2,5,5,5,7,13415740.0,popularity,hedonic,headphones,100.0,5.0,6.0,6.0
13415740.0,Popularity,18–24 years old,Male,No,Asian,"Bachelor's degree (e.g., BA, BS)","Less than $20,000",Yes,Once a week,2,5,5,5,7,13415740.0,popularity,utilitarian,chocolate,10.0,5.0,6.0,6.0
